total_scans,total_hits,total_misses,hit_rate,interception_rate,average_intercept_delay,missed_transmissions,percentage_of_missed_transmissions,Scenario,Strategy,Episode
1000,463,537,46.300000000000004,16.166201117318437,1.329268292682927,2369,82.71648044692738,Mixed,Round Robin,0
1000,463,537,46.300000000000004,16.36620714033227,1.3846153846153846,2343,82.82078472958642,Mixed,Round Robin,1
1000,455,545,45.5,16.08910891089109,1.3375,2344,82.88543140028288,Mixed,Round Robin,2
1000,454,546,45.4,16.05942695436859,1.0632911392405062,2336,82.63176512203749,Mixed,Round Robin,3
1000,463,537,46.300000000000004,16.24561403508772,1.4222222222222223,2357,82.7017543859649,Mixed,Round Robin,4
1000,562,438,56.2,19.622905027932962,0.9541984732824428,2276,79.46927374301676,Mixed,Random,0
1000,569,431,56.89999999999999,20.113114174620005,0.8125,2243,79.2859667727112,Mixed,Random,1
1000,568,432,56.8,20.084865629420083,0.7279411764705882,2234,78.995756718529,Mixed,Random,2
1000,558,442,55.800000000000004,19.738238415281216,0.8306451612903226,2249,79.55429784223558,Mixed,Random,3
1000,562,438,56.2,19.719298245614038,0.8208955223880597,2261,79.33333333333333,Mixed,Random,4
1000,878,122,87.8,30.656424581005588,0.813953488372093,1978,69.06424581005587,Mixed,Adaptive Heuristic,0
1000,884,116,88.4,31.247790738776953,1.108695652173913,1938,68.50477200424177,Mixed,Adaptive Heuristic,1
1000,879,121,87.9,31.082036775106083,0.8780487804878049,1942,68.67043847241867,Mixed,Adaptive Heuristic,2
1000,881,119,88.1,31.16377785638486,1.1333333333333333,1940,68.62398302087018,Mixed,Adaptive Heuristic,3
1000,880,120,88.0,30.87719298245614,0.5833333333333334,1962,68.84210526315789,Mixed,Adaptive Heuristic,4
1000,1000,0,100.0,34.91620111731844,0.0,1864,65.08379888268156,Mixed,RL Agent (PPO),0
1000,1000,0,100.0,35.34817956875221,0.0,1829,64.65182043124778,Mixed,RL Agent (PPO),1
1000,1000,0,100.0,35.36067892503536,0.0,1828,64.63932107496464,Mixed,RL Agent (PPO),2
1000,1000,0,100.0,35.37318712415989,0.0,1827,64.62681287584012,Mixed,RL Agent (PPO),3
1000,1000,0,100.0,35.08771929824561,0.0,1850,64.91228070175438,Mixed,RL Agent (PPO),4
1000,186,814,18.6,16.474756421612046,0.7311827956989247,943,83.52524357838796,Mostly Periodic,Round Robin,0
1000,186,814,18.6,16.474756421612046,0.7311827956989247,943,83.52524357838796,Mostly Periodic,Round Robin,1
1000,186,814,18.6,16.474756421612046,0.7311827956989247,943,83.52524357838796,Mostly Periodic,Round Robin,2
1000,186,814,18.6,16.474756421612046,0.7311827956989247,943,83.52524357838796,Mostly Periodic,Round Robin,3
1000,186,814,18.6,16.474756421612046,0.7311827956989247,943,83.52524357838796,Mostly Periodic,Round Robin,4
1000,241,759,24.099999999999998,21.346324180690875,0.5355450236966824,888,78.65367581930911,Mostly Periodic,Random,0
1000,241,759,24.099999999999998,21.346324180690875,0.5355450236966824,888,78.65367581930911,Mostly Periodic,Random,1
1000,241,759,24.099999999999998,21.346324180690875,0.5355450236966824,888,78.65367581930911,Mostly Periodic,Random,2
1000,241,759,24.099999999999998,21.346324180690875,0.5355450236966824,888,78.65367581930911,Mostly Periodic,Random,3
1000,241,759,24.099999999999998,21.346324180690875,0.5355450236966824,888,78.65367581930911,Mostly Periodic,Random,4
1000,424,576,42.4,37.55535872453499,0.28679245283018867,705,62.44464127546502,Mostly Periodic,Adaptive Heuristic,0
1000,424,576,42.4,37.55535872453499,0.28679245283018867,705,62.44464127546502,Mostly Periodic,Adaptive Heuristic,1
1000,424,576,42.4,37.55535872453499,0.28679245283018867,705,62.44464127546502,Mostly Periodic,Adaptive Heuristic,2
1000,424,576,42.4,37.55535872453499,0.28679245283018867,705,62.44464127546502,Mostly Periodic,Adaptive Heuristic,3
1000,424,576,42.4,37.55535872453499,0.28679245283018867,705,62.44464127546502,Mostly Periodic,Adaptive Heuristic,4
1000,500,500,50.0,44.28697962798937,0.0,629,55.713020372010625,Mostly Periodic,RL Agent (PPO),0
1000,500,500,50.0,44.28697962798937,0.0,629,55.713020372010625,Mostly Periodic,RL Agent (PPO),1
1000,500,500,50.0,44.28697962798937,0.0,629,55.713020372010625,Mostly Periodic,RL Agent (PPO),2
1000,500,500,50.0,44.28697962798937,0.0,629,55.713020372010625,Mostly Periodic,RL Agent (PPO),3
1000,500,500,50.0,44.28697962798937,0.0,629,55.713020372010625,Mostly Periodic,RL Agent (PPO),4
1000,259,741,25.900000000000002,19.444444444444446,1.4355555555555555,1073,80.55555555555556,Random Burst,Round Robin,0
1000,256,744,25.6,19.96879875195008,1.4708520179372198,1026,80.03120124804992,Random Burst,Round Robin,1
1000,248,752,24.8,20.032310177705977,1.2925764192139737,990,79.96768982229402,Random Burst,Round Robin,2
1000,251,749,25.1,20.35685320356853,1.2410714285714286,982,79.64314679643147,Random Burst,Round Robin,3
1000,266,734,26.6,19.718309859154928,1.4890829694323144,1083,80.28169014084507,Random Burst,Round Robin,4
1000,245,755,24.5,18.393393393393392,1.3535911602209945,1087,81.6066066066066,Random Burst,Random,0
1000,229,771,22.900000000000002,17.862714508580343,1.38125,1053,82.13728549141965,Random Burst,Random,1
1000,231,769,23.1,18.659127625201936,1.25,1007,81.34087237479805,Random Burst,Random,2
1000,227,773,22.7,18.410381184103812,1.3696969696969696,1006,81.58961881589619,Random Burst,Random,3
1000,256,744,25.6,18.977020014825797,1.5303867403314917,1093,81.0229799851742,Random Burst,Random,4
1000,415,585,41.5,31.156156156156158,1.0049751243781095,917,68.84384384384384,Random Burst,Adaptive Heuristic,0
1000,416,584,41.6,32.44929797191888,0.9685863874345549,866,67.55070202808112,Random Burst,Adaptive Heuristic,1
1000,426,574,42.6,34.41033925686591,0.8415300546448088,812,65.58966074313409,Random Burst,Adaptive Heuristic,2
1000,388,612,38.800000000000004,31.46796431467964,0.8294117647058824,845,68.53203568532035,Random Burst,Adaptive Heuristic,3
1000,459,541,45.9,34.02520385470719,1.0,890,65.97479614529281,Random Burst,Adaptive Heuristic,4
1000,0,1000,0.0,0.0,0.0,1332,100.0,Random Burst,RL Agent (PPO),0
1000,0,1000,0.0,0.0,0.0,1282,100.0,Random Burst,RL Agent (PPO),1
1000,0,1000,0.0,0.0,0.0,1238,100.0,Random Burst,RL Agent (PPO),2
1000,0,1000,0.0,0.0,0.0,1233,100.0,Random Burst,RL Agent (PPO),3
1000,0,1000,0.0,0.0,0.0,1349,100.0,Random Burst,RL Agent (PPO),4
1000,402,598,40.2,20.1,1.5,1598,79.9,Frequency Agile,Round Robin,0
1000,402,598,40.2,20.1,1.5,1598,79.9,Frequency Agile,Round Robin,1
1000,402,598,40.2,20.1,1.5,1598,79.9,Frequency Agile,Round Robin,2
1000,402,598,40.2,20.1,1.5,1598,79.9,Frequency Agile,Round Robin,3
1000,402,598,40.2,20.1,1.5,1598,79.9,Frequency Agile,Round Robin,4
1000,390,610,39.0,19.5,0.5,1610,80.5,Frequency Agile,Random,0
1000,390,610,39.0,19.5,0.5,1610,80.5,Frequency Agile,Random,1
1000,390,610,39.0,19.5,0.5,1610,80.5,Frequency Agile,Random,2
1000,390,610,39.0,19.5,0.5,1610,80.5,Frequency Agile,Random,3
1000,390,610,39.0,19.5,0.5,1610,80.5,Frequency Agile,Random,4
1000,472,528,47.199999999999996,23.599999999999998,1.0,1528,76.4,Frequency Agile,Adaptive Heuristic,0
1000,472,528,47.199999999999996,23.599999999999998,1.0,1528,76.4,Frequency Agile,Adaptive Heuristic,1
1000,472,528,47.199999999999996,23.599999999999998,1.0,1528,76.4,Frequency Agile,Adaptive Heuristic,2
1000,472,528,47.199999999999996,23.599999999999998,1.0,1528,76.4,Frequency Agile,Adaptive Heuristic,3
1000,472,528,47.199999999999996,23.599999999999998,1.0,1528,76.4,Frequency Agile,Adaptive Heuristic,4
1000,336,664,33.6,16.8,0.0,1664,83.2,Frequency Agile,RL Agent (PPO),0
1000,336,664,33.6,16.8,0.0,1664,83.2,Frequency Agile,RL Agent (PPO),1
1000,336,664,33.6,16.8,0.0,1664,83.2,Frequency Agile,RL Agent (PPO),2
1000,336,664,33.6,16.8,0.0,1664,83.2,Frequency Agile,RL Agent (PPO),3
1000,336,664,33.6,16.8,0.0,1664,83.2,Frequency Agile,RL Agent (PPO),4
